Timestamp;GazePoint
1167609795,72457;
1167609795,76715;
1167609795,80395;
1167609795,84651;
1167609795,88651;
1167609795,92319;
1167609795,9615;
1167609795,99848;
1167609796,03557;
1167609796,07266;
1167609796,11118;
1167609796,14821;
1167609796,18469;
1167609796,22109;
1167609796,25906;
1167609796,29553;
1167609796,33997;
1167609796,38466;
1167609796,42911;
1167609796,47244;
1167609796,51008;
1167609796,55338;
1167609796,58569;
1167609796,62064;
1167609796,66117;
1167609796,69948;
1167609796,75753;
1167609796,79343;
1167609796,83075;
1167609796,86899;
1167609796,90564;
1167609796,94386;
1167609796,98219;
1167609797,02048;
1167609797,05862;
1167609797,09735;
1167609797,13552;
1167609797,17377;
1167609797,21843;
1167609797,26311;
1167609797,3077;
1167609797,35233;
1167609797,39112;
1167609797,43568;
1167609797,47269;
1167609797,5089;
1167609797,5475;
1167609797,58614;
1167609797,62324;
1167609797,66041;
1167609797,6976;
1167609797,73555;
1167609797,77278;
1167609797,80927;
1167609797,84641;
1167609797,88508;
1167609797,92975;
1167609797,97448;
1167609798,019;
1167609798,06282;
1167609798,10087;
1167609798,14466;
1167609798,1778;
1167609798,21379;
1167609798,27021;
1167609798,30911;
1167609798,34668;
1167609798,38566;
1167609798,4235;
1167609798,46125;
1167609798,49889;
1167609798,53727;
1167609798,57491;
1167609798,61181;
1167609798,65008;
1167609798,68842;
1167609798,73317;
1167609798,77783;
1167609798,82321;
1167609798,86784;
1167609798,90678;
1167609798,95134;
1167609798,98645;
1167609799,02553;
1167609799,06462;
1167609799,1037;
1167609799,14275;
1167609799,18118;
1167609799,22021;
1167609799,25934;
1167609799,29773;
1167609799,33613;
1167609799,37454;
1167609799,41294;
1167609799,45781;
1167609799,50271;
1167609799,54756;
1167609799,59171;
1167609799,6302;
1167609799,67441;
1167609799,70463;
1167609799,73967;
1167609799,79986;
1167609799,83832;0.4192:0.3577
1167609799,88193;
1167609799,93115;0.4307:0.4248
1167609799,96508;0.43135:0.4368
1167609800,0183;0.43175:0.40145
1167609800,07155;0.4359:0.42705
1167609800,12392;0.42775:0.4271
1167609800,17619;0.44135:0.4059
1167609800,22834;0.4287:0.43875
1167609800,2807;0.4318:0.44965
1167609800,33206;0.4387:0.4234
1167609800,38331;0.43605:0.43275
1167609800,43508;0.44505:0.39355
1167609800,49455;0.4283:0.3904
1167609800,55669;0.4345:0.3862
1167609800,61735;
1167609800,66869;
1167609800,69459;
1167609800,72189;
1167609800,74799;
1167609800,77524;
1167609800,80377;
1167609800,83267;
1167609800,86192;
1167609800,89152;
1167609800,92126;
1167609800,95124;
1167609800,98146;
1167609801,0119;
1167609801,04264;
1167609801,08732;
1167609801,13205;
1167609801,17686;
1167609801,22164;
1167609801,26055;
1167609801,30524;
1167609801,34997;
1167609801,38334;
1167609801,4172;
1167609801,45158;
1167609801,49005;
1167609801,52451;
1167609801,55888;
1167609801,61281;
1167609801,65121;
1167609801,69585;
1167609801,72909;
1167609801,76263;
1167609801,80107;
1167609801,83955;
1167609801,87372;
1167609801,91215;
1167609801,94648;
1167609801,98079;
1167609802,01922;
1167609802,05768;
1167609802,09195;
1167609802,12635;
1167609802,17105;
1167609802,21593;
1167609802,25889;
1167609802,29607;
1167609802,33895;
1167609802,38188;
1167609802,42481;
1167609802,46772;
1167609802,50616;
1167609802,54464;
1167609802,58308;
1167609802,62156;
1167609802,66005;
1167609802,69853;
1167609802,73699;
1167609802,77551;
1167609802,81394;
1167609802,85284;
1167609802,89137;
1167609802,92983;
1167609802,97463;
1167609803,01367;
1167609803,05835;
1167609803,10305;
1167609803,14785;
1167609803,19264;
1167609803,23584;
1167609803,27975;
1167609803,31814;
1167609803,35658;
1167609803,395;
1167609803,43352;
1167609803,47196;
1167609803,51049;
1167609803,54892;
1167609803,58743;
1167609803,62587;
1167609803,66439;
1167609803,70284;
1167609803,74187;
1167609803,78667;
1167609803,83137;
1167609803,87608;
1167609803,92086;
1167609803,96565;
1167609804,00453;
1167609804,04921;
1167609804,09386;
1167609804,13035;0.70155:1.0877
1167609804,16623;
1167609804,21658;0.6916:1.0986
1167609804,26286;0.7167:1.11305
1167609804,29428;0.71365:1.12965
1167609804,3337;0.7163:1.14005
1167609804,37111;0.72395:1.1358
1167609804,41269;0.71815:1.1255
1167609804,44865;0.71505:1.1293
1167609804,48952;0.71915:1.1281
1167609804,53375;0.71445:1.13635
1167609804,5701;0.72085:1.1458
1167609804,60905;0.7189:1.13225
1167609804,65366;0.7257:1.1721
1167609804,69187;
1167609804,73715;0.7261:1.12995
1167609804,76495;0.71865:1.1385
1167609804,80167;0.7198:1.12265
1167609804,84549;0.7167:1.1286
1167609804,88821;0.7167:1.13205
1167609804,93199;0.7178:1.1252
1167609804,96964;0.72265:1.12305
1167609805,0155;0.7184:1.12565
1167609805,05539;0.71595:1.12475
1167609805,0995;0.7121:1.11865
1167609805,14107;0.72025:1.13965
1167609805,18655;0.7298:1.13305
1167609805,2259;0.7187:1.1272
1167609805,27018;0.72345:1.12725
1167609805,30715;0.72685:1.14235
1167609805,34819;0.71535:1.1205
1167609805,38713;0.7214:1.15865
1167609805,42923;0.7248:1.1413
